No," TERBITAN DAN PENGELOLA	", ID, REGISTRASI, BERKAS, VERIFIKASI, PEMBAYARAN, SK ISSN, NO.ISSN 
34,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp2&amp1570762576&amp&amp&amp1570897104"" onmouseover=""window.status=''return true"">Katalog Publikasi BPS Provinsi Sumatera Selatan 2017</a> (BPS Provinsi Sumatera Selatan)",1570762576,  11/10/19  ,  Check  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
35,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp2&amp1570762131&amp&amp&amp1570897104"" onmouseover=""window.status=''return true"">Statistik Kesejahteraan Rakyat Kota Tebing Tinggi</a> (Badan Pusat Statistik Kota Tebing Tinggi)",1570762131,  11/10/19  ,  Check  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
36,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp2&amp1570762040&amp&amp&amp1570897104"" onmouseover=""window.status=''return true"">Majalah Laskar</a> (SMP Negeri 1 Karanggeneng)",1570762040,  11/10/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
37,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp2&amp1570761542&amp&amp&amp1570897104"" onmouseover=""window.status=''return true"">Majalah Ilmiah BPSDMD Provinsi Kalimantan Selatan</a> (Badan Pengembangan Sumber Daya Manusia Daerah Provinsi Kalimantan Selatan)",1570761542,  11/10/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
38,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp2&amp1570761519&amp&amp&amp1570897104"" onmouseover=""window.status=''return true"">Journal Research Management And Business (JRAMBI)</a> (Sekolah Tinggi Ilmu Ekonomi (STIE)  Indonesia Makassar)",1570761519,  11/10/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
39,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp2&amp1570760355&amp&amp&amp1570897104"" onmouseover=""window.status=''return true"">Jurnal Psikiatri Surabaya</a> (Departemen Ilmu Kedokteran Jiwa Fakultas Kedokteran Universitas Airlangga)",1570760355,  11/10/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
40,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp2&amp1570759154&amp&amp&amp1570897104"" onmouseover=""window.status=''return true"">Kecamatan Bajenis Dalam Angka</a> (Badan Pusat Statistik Kota Tebing Tinggi)",1570759154,  11/10/19  ,  Check  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
41,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp2&amp1570756519&amp&amp&amp1570897104"" onmouseover=""window.status=''return true"">Direktori Perusahaan Konstruksi Provinsi Sulawesi Tenggara</a> (Badan Pusat Statistik Provinsi Sulawesi Tenggara)",1570756519,  11/10/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
42,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp2&amp1570754895&amp&amp&amp1570897104"" onmouseover=""window.status=''return true"">Direktori Industri Besar Sedang Provinsi Sulawesi Tenggara</a> (Badan Pusat Statistik Provinsi Sulawesi Tenggara)",1570754895,  11/10/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
43,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp2&amp1570754063&amp&amp&amp1570897104"" onmouseover=""window.status=''return true"">Jurnal Tahdis</a> (Program Studi Ilmu Hadis  Fakultas Ushuluddin dan Filsafat UIN Alauddin Makassar)",1570754063,  11/10/19  ,  Check  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
44,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp2&amp1570753047&amp&amp&amp1570897104"" onmouseover=""window.status=''return true"">Jurnal Tahdis</a> (Program Studi Ilmu Hadis  Fakultas Ushuluddin dan Filsafat UIN Alauddin Makassar)",1570753047,  11/10/19  ,  Check  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
45,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp2&amp1570707443&amp&amp&amp1570897104"" onmouseover=""window.status=''return true"">Jurnal Rekayasa Industri (JRI)</a> (Program Studi Teknik Industri Universitas Widya Mataram Yogyakarta)",1570707443,  10/10/19  ,  Check  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
46,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp2&amp1570706232&amp&amp&amp1570897104"" onmouseover=""window.status=''return true"">Jurnal Rekayasa Industri (JRI)</a> (Program Studi Teknik Industri Universitas Widya Mataram Yogyakarta)",1570706232,  10/10/19  ,  Check  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
47,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp2&amp1570700736&amp&amp&amp1570897104"" onmouseover=""window.status=''return true"">LèKTORAS</a> (Ikatan Dosen RI (IDRI) Provinsi Banten)",1570700736,  10/10/19  ,  Check  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
48,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp2&amp1570698445&amp&amp&amp1570897104"" onmouseover=""window.status=''return true"">Service Management Triangle: Jurnal Manajemen Jasa</a> (Program Magister Manajemen Universitas BSI)",1570698445,  10/10/19  ,  Check  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
49,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp2&amp1570698271&amp&amp&amp1570897104"" onmouseover=""window.status=''return true"">Journal MELT (Medium for English Language Teaching)</a> (Universitas Potensi Utama)",1570698271,  10/10/19  ,  Check  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
50,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp2&amp1570697475&amp&amp&amp1570897104"" onmouseover=""window.status=''return true"">Jurnal Kognisi</a> (Universitas Potensi Utama )",1570697475,  10/10/19  ,  Check  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
51,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp3&amp1570696965&amp&amp&amp1570897107"" onmouseover=""window.status=''return true"">Jurnal iSmartEdu</a> (Jurusan Pendidikan Teknologi Informasi dan Komunikasi Fakultas Teknik Universitas Negeri Manado)",1570696965,  10/10/19  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
52,"<a style=""TEXT-DECORATION:NONE"" href=""perpustakaan.cgi?lihatissn&ampwagi004&amp1148516627&amp1036008011&amp2019&amp3&amp1570696041&amp&amp&amp1570897107"" onmouseover=""window.status=''return true"">Proporsi</a> (Universitas Potensi Utama)",1570696041,  10/10/19  ,  Check  ,  Uncheck  ,  Uncheck  ,  Uncheck  ,  Uncheck  
